user_id	default	template_name	age	category	sex	group	array	scoring	template_core_id
	default	SIDE_C		specific			RIGHT		1
	default	SIDE_C		specific			LEFT		2
	default	SIDE_C		specific			BILATERAL		3
	default	side		specific			right		4
	default	side		specific			left		5
	default	side		specific			bilateral		6
	default	UPPER/LOWER_C		specific			UPPER		7
	default	UPPER/LOWER_C		specific			LOWER		8
	default	UPPER/LOWER_C		specific			UPPER AND LOWER		9
	default	upper/lower		specific			upper		10
	default	upper/lower		specific			lower		11
	default	upper/lower		specific			upper and lower		12
	default	YES/NO_C		specific			YES		13
	default	YES/NO_C		specific			NO		14
	default	yes/no		specific			yes		15
	default	yes/no		specific			no		16
	default	normal/abnormal		specific			normal		17
	default	normal/abnormal		specific			abnormal		18
	default	NORMAL/ABNORMAL_C		specific			NORMAL		19
	default	NORMAL/ABNORMAL_C		specific			ABNORMAL		20
	default	anterior/posterior		specific			anterior		21
	default	anterior/posterior		specific			posterior		22
	default	ANTERIOR/POSTERIOR_C		specific			ANTERIOR		23
	default	ANTERIOR/POSTERIOR_C		specific			POSTERIOR		24
	default	dorsal/plantar/volar		specific			dorsal		25
	default	dorsal/plantar/volar		specific			plantar		26
	default	dorsal/plantar/volar		specific			volar		27
	default	DORSAL/PLANTAR/VOLAR_C		specific			DORSAL		28
	default	DORSAL/PLANTAR/VOLAR_C		specific			PLANTAR		29
	default	DORSAL/PLANTAR/VOLAR_C		specific			VOLAR		30
	default	DIGIT_C		specific			THUMB		31
	default	DIGIT_C		specific			2ND FINGER		32
	default	DIGIT_C		specific			3RD FINGER		33
	default	DIGIT_C		specific			4TH FINGER		34
	default	DIGIT_C		specific			5TH FINGER		35
	default	DIGIT_C		specific			GREAT TOE		36
	default	DIGIT_C		specific			2ND TOE		37
	default	DIGIT_C		specific			3RD TOE		38
	default	DIGIT_C		specific			4TH TOE		39
	default	DIGIT_C		specific			5TH TOE		40
	default	digit		specific			thumb		41
	default	digit		specific			2nd finger		42
	default	digit		specific			3rd finger		43
	default	digit		specific			4th finger		44
	default	digit		specific			5th finger		45
	default	digit		specific			great toe		46
	default	digit		specific			2nd toe		47
	default	digit		specific			3rd toe		48
	default	digit		specific			4th toe		49
	default	digit		specific			5th toe		50
	default	good/fair/poor		specific			good		51
	default	good/fair/poor		specific			fair		52
	default	good/fair/poor		specific			poor		53
	default	GOOD/FAIR/POOR_C		specific			GOOD		54
	default	GOOD/FAIR/POOR_C		specific			FAIR		55
	default	GOOD/FAIR/POOR_C		specific			POOR		56
		ros_gen		text		Denies			57
	normal	ros_gen		text		Denies	fever		58
	normal	ros_gen		text		Denies	weight change		59
	normal	ros_gen		text		Denies	fatigue		60
	normal	ros_gen		text		Denies	appetite change		61
		ros_gen		text		REPORTS			62
		ros_gen		text		REPORTS	FEVER		63
		ros_gen		text		REPORTS	WEIGHT LOSS		64
		ros_gen		text		REPORTS	WEIGHT GAIN		65
		ros_gen		text		REPORTS	FATIGUE		66
		ros_gen		text		REPORTS	WEAKNESS		67
		ros_gen		text		REPORTS	INCREASED APPETITE		68
		ros_gen		text		REPORTS	DECREASED APPETITE		69
		ros_eye		text		Denies			70
	normal	ros_eye		text		Denies	vision change		71
	normal	ros_eye		text		Denies	eye pain		72
	normal	ros_eye		text		Denies	eye redness		73
	normal	ros_eye		text		Denies	eye discharge		74
		ros_eye		text		REPORTS			75
		ros_eye		text		REPORTS	VISION CHANGE ON THE *SIDE_C* SIDE		76
		ros_eye		text		REPORTS	EYE PAIN ON THE *SIDE_C* SIDE		77
		ros_eye		text		REPORTS	EYE REDNESS ON THE *SIDE_C* SIDE		78
		ros_eye		text		REPORTS	EYE DISCHARGE ON THE *SIDE_C* SIDE		79
		ros_ent		text		Denies			80
	normal	ros_ent		text		Denies	ear pain		81
	normal	ros_ent		text		Denies	tinnitus		82
	normal	ros_ent		text		Denies	rhinorrhea		83
	normal	ros_ent		text		Denies	nose bleeding		84
	normal	ros_ent		text		Denies	nasal congestion		85
		ros_ent		text		REPORTS			86
		ros_ent		text		REPORTS	EAR PAIN ON THE *SIDE_C* SIDE		87
		ros_ent		text		REPORTS	TINNITUS		88
		ros_ent		text		REPORTS	NASAL CONGESTION		89
		ros_ent		text		REPORTS	RHINORRHEA		90
		ros_ent		text		REPORTS	NOSE BLEEDING ON THE *SIDE_C* SIDE		91
		ros_resp		text		Denies			92
	normal	ros_resp		text		Denies	shortness of breath		93
	normal	ros_resp		text		Denies	dyspnea on exertion		94
