BANNER,LOINC #,Long Common Name,CLASS,Class Override,Rank,Example UCUM,Example UCUM Display,Comments,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,System Adjusted,GROUP,
General Guidance ,,,,,,,,,,,,,,,,,
"1) Ask your test kit and instrument manufacturer(s) and referral labs about which LOINC codes are relevant for their products.
Increasingly, test kit and instrument manufacturers are requesting LOINC codes for their new test. Some of the larger manufacturers have mapped their routine tests done on to LOINC codes. Check with these in vitro diagnostic companies for the LOINC codes relevant for their tests. In addition, the largest referral laboratories in the US have mapped their high- to medium-volume tests to LOINC. Getting the LOINC mappings from either of these sources will save you time.

2) When mapping, search against the LOINC common test list.
In RELMA and on search.loinc.org you can set the search parameters to only look at the common tests.  Work through the mapping by lab section. Realize that LOINC does not encompass terms that may be used in your lab system for internal accounting or �diagnostic� variables that are provided as indicators that might be used to trigger a follow up test, but are not supposed to be reported to the ordering provider because the results are not reliable enough. Blood cell counters usually report such indicators.

3) Obtain a master list of tests for mapping.
RELMA has a function that will convert a large set of HL7 result (ORU) messages into a database that carries the name of the order, the units of measure, and sample data that can be the source of frequency statistics for deciding which terms to tackle first. RELMA also can use the units of measure to focus your search on LOINC terms whose property is consistent with the units of measure you report.

4) A new resource called LOINC Essentials.
A new book called LOINC Essentials is now available (https://danielvreeman.com/loinc-essentials) that provides a detailed step-by-step guide for mapping your local codes to LOINC codes. This book is a nice adjunct to the domain-specific advice provided here in this Mapper's Guide to the Top 2000+ Lab Observations.

NOTE ABOUT RANKS: The ranks in the Top 2000+ laboratory results table were originally based on three large institutions' statistics. Since the data were acquired, some important new tests and recommendations or approaches to testing have emerged. As of version 1.4, we have added some of these tests to the table, not based on empiric statistics, but on our opinion that these are or should be in increased use. For these LOINC codes, we assigned a rank value of 3000 as a way to distinguish them from the tests originally included in the Top 2000+.",,,,,,,,,,,,,,,,,
Guidance and Information by Test Classes,,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,,,,,,,,,
"The allergy tests included in the Top 2000+ are a very small percentage of the approximately 3800 allergen tests in the LOINC database. Only a relatively few are used frequently enough to make the Top 2000+ list. Be aware that laboratories may report the test results for a given allergen in three ways:

     1) As numeric concentration of IgE antibodies with units of IU/mL
     2) As a rank (the RAST class from 1-6) based on the concentration that categorizes the severity of the allergy, or
     3) As a percent of the reaction to a control specimen.

A WHO International reference standard exists for measuring IgE by itself, which is almost always reported in kIU/L.  Most labs have serum/plasma tests for IgE alone; some report in international units (usually kIU/L) and others as arbitrary units, though we suspect these are close to being IU, but they don�t quite qualify for some reason. Some labs report the strength of the allergen as percent of some control, and thus avoid the issues of international units all together.

Though the majority of allergen testing focuses on IgE antibodies, some laboratories measure IgG and IgA concentration, particularly against food allergens. We bring this up only so you do not assume that all allergy tests are looking for IgE antibodies [PMID: 21461251]. The National Institute of Allergy and Infectious Diseases (NIAID), part of the National Institutes of Health, published an extensive report about testing for food allergies in 2011 (Guidelines for the Diagnosis and Management of Food Allergy in the United States: Report of the NIAID-Sponsored Expert Panel) that also emphasized this.

Be aware that different names can be applied to a given allergen and it may not always be obvious when two allergens are the same. For example, hair, fur and dander and even dog serum albumin may be referring to the same allergen. In the case of dogs and cats, the allergenicity of hair and fur mostly comes from saliva deposited on the animal�s coat by licking the skin or hair. Dog serum albumin is also deposited on the skin/hair and is one of the entities that stimulates allergies.  An allergen named cat fur or cat hair is really testing for allergy to cat dander. Likewise, dog dander, epithelium, and hair all identify the same allergen, which comes from saliva and coats the hair and epithelium when the dog licks its fur, therefore, we recommend using [LOINC: 6098-8] if possible.

Historically, the allergens used for allergy testing were direct extracts made from a part of the plant or animal or other specific allergy-inducing substance. Today some allergy tests use a more precise, purified �extract� that focuses on the specific antigen responsible for the allergy.  These antigens are obtained by: 1) physical/immunochemical purification of extracts used historically to test for allergies; or 2) recombinant methods to produce the pure allergen.",,,,,,,,,,,,,,,,,
"We insert standard acronym names used by most allergen manufacturers as synonyms. These begin with lower case ""n"" or ""r"" to distinguish native from recombinant allergens followed by the first 3 letters of the genus (in Latin), a space and the first letter of the species (in Latin). If the first 3 letters of the genus and the first letter of the species are not enough to distinguish between two allergens, the second letter of the species name is added (e.g., Prunus avium recombinant (rPru av) 1). Because the content in the parentheses represents the antigen acronym and not the ImmunoCAP code, the antigen sequence number is purposely placed after the closed parenthesis. For example, four LOINC dog allergen codes are:

    [LOINC: 75008-3] Dog native (nCan f) 1 IgE Ab [Units/volume] in Serum
    [LOINC: 58773-3] Dog recombinant (rCan f) 1 IgE Ab [Units/volume] in Serum
    [LOINC: 58772-5] Dog recombinant (rCan f) 2 IgE Ab [Units/volume] in Serum
    [LOINC: 64973-1] Dog recombinant (rCan f) 5 IgE Ab [Units/volume] in Serum",,,,,,,,,,,,,,,,,
,6019-4,Almond IgE Ab [Units/volume] in Serum,Allergy,Allergy,1024,k[IU]/L,kIU/L,,Prunus dulcis Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6020-2,Alternaria alternata IgE Ab [Units/volume] in Serum,Allergy,Allergy,652,k[IU]/L,kIU/L,,Alternaria alternata Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,15530-9,Alternaria alternata IgE Ab RAST class in Serum,Allergy,Allergy,1289,,,,Alternaria alternata Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,6038-4,American Beech IgE Ab [Units/volume] in Serum,Allergy,Allergy,1924,k[IU]/L,kIU/L,,Fagus grandifolia Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,30170-5,American Cockroach IgE Ab [Units/volume] in Serum,Allergy,Allergy,780,k[IU]/L,kIU/L,,Periplaneta americana Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6095-4,American house dust mite IgE Ab [Units/volume] in Serum,Allergy,Allergy,648,k[IU]/L,kIU/L,,Dermatophagoides farinae Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6263-8,American Sycamore IgE Ab [Units/volume] in Serum,Allergy,Allergy,1072,k[IU]/L,kIU/L,,Platanus occidentalis Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6021-0,Apple IgE Ab [Units/volume] in Serum,Allergy,Allergy,1570,k[IU]/L,kIU/L,,Malus sylvestris Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6025-1,Aspergillus fumigatus IgE Ab [Units/volume] in Serum,Allergy,Allergy,683,k[IU]/L,kIU/L,,Aspergillus fumigatus Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6029-3,Aureobasidium pullulans IgE Ab [Units/volume] in Serum,Allergy,Allergy,1889,k[IU]/L,kIU/L,,Aureobasidium pullulans Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6034-3,Bahia grass IgE Ab [Units/volume] in Serum,Allergy,Allergy,860,k[IU]/L,kIU/L,,Paspalum notatum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,31032-6,Baker's yeast IgA Ab [Units/volume] in Serum,Allergy,Allergy,1368,k[IU]/L,kIU/L,,Saccharomyces cerevisiae Ab.IgA,ACnc,Pt,Ser,Qn,,Ser,,
,47320-7,Baker's yeast IgA Ab [Units/volume] in Serum by Immunoassay,ALLERGY,Allergy,1369,k[IU]/L,kIU/L,,Saccharomyces cerevisiae Ab.IgA,ACnc,Pt,Ser,Qn,EIA,Ser,,
,6287-7,Baker's yeast IgE Ab [Units/volume] in Serum,Allergy,Allergy,1945,k[IU]/L,kIU/L,,Saccharomyces cerevisiae Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,35538-8,Baker's yeast IgG Ab [Mass/volume] in Serum,Allergy,Allergy,1311,ug/mL,ug/mL,,Saccharomyces cerevisiae Ab.IgG,MCnc,Pt,Ser,Qn,,Ser,,
,6035-0,Banana IgE Ab [Units/volume] in Serum,Allergy,Allergy,1627,k[IU]/L,kIU/L,,Musa spp Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6037-6,Barley IgE Ab [Units/volume] in Serum,Allergy,Allergy,1765,k[IU]/L,kIU/L,,Hordeum vulgare Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7124-1,Bayberry Pollen IgE Ab [Units/volume] in Serum,Allergy,Allergy,1513,k[IU]/L,kIU/L,,Myrica spp pollen Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6039-2,Beef IgE Ab [Units/volume] in Serum,Allergy,Allergy,857,k[IU]/L,kIU/L,,Beef Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6041-8,Bermuda grass IgE Ab [Units/volume] in Serum,Allergy,Allergy,745,k[IU]/L,kIU/L,,Cynodon dactylon Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7155-5,Boxelder IgE Ab [Units/volume] in Serum,Allergy,Allergy,795,k[IU]/L,kIU/L,,Acer negundo Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6050-9,Brazil Nut IgE Ab [Units/volume] in Serum,Allergy,Allergy,1401,k[IU]/L,kIU/L,,Bertholletia excelsa Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6059-0,Candida albicans IgE Ab [Units/volume] in Serum,Allergy,Allergy,1734,k[IU]/L,kIU/L,,Candida albicans Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6061-6,Carrot IgE Ab [Units/volume] in Serum,Allergy,Allergy,1898,k[IU]/L,kIU/L,,Daucus carota Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6062-4,Casein IgE Ab [Units/volume] in Serum,Allergy,Allergy,1668,k[IU]/L,kIU/L,,Casein Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6718-1,Cashew Nut IgE Ab [Units/volume] in Serum,Allergy,Allergy,1084,k[IU]/L,kIU/L,,Anacardium occidentale Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6833-8,Cat dander IgE Ab [Units/volume] in Serum,Allergy,Allergy,715,k[IU]/L,kIU/L,"The same allergen is carried by cat hair and epithelium. It comes from cat saliva, which coats hair and epithelium through licking. It is best named as cat dander.",Cat dander Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,19734-3,Chicken droppings IgE Ab [Units/volume] in Serum,Allergy,Allergy,1827,k[IU]/L,kIU/L,,Chicken droppings Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6073-1,Chocolate IgE Ab [Units/volume] in Serum,Allergy,Allergy,899,k[IU]/L,kIU/L,,Chocolate Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6075-6,Cladosporium herbarum IgE Ab [Units/volume] in Serum,Allergy,Allergy,718,k[IU]/L,kIU/L,,Cladosporium herbarum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7415-3,Cladosporium sphaerospermum IgE Ab [Units/volume] in Serum,Allergy,Allergy,1809,k[IU]/L,kIU/L,,Cladosporium sphaerospermum Ab.IgE,Acnc,Pt,Ser,Qn,,Ser,,
,6076-4,Clam IgE Ab [Units/volume] in Serum,Allergy,Allergy,1153,k[IU]/L,kIU/L,,Ruditapes spp Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,15643-0,Clam IgE Ab RAST class in Serum,Allergy,Allergy,1594,,,,Ruditapes spp Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,6078-0,Cockroach IgE Ab [Units/volume] in Serum,Allergy,Allergy,1717,k[IU]/L,kIU/L,,Blatella germanica Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,24139-8,Cockroach IgG Ab [Units/volume] in Serum,Allergy,Allergy,1844,k[IU]/L,kIU/L,,Blatella germanica Ab.IgG,ACnc,Pt,Ser,Qn,,Ser,,
,6195-2,Cocksfoot IgE Ab [Units/volume] in Serum,Allergy,Allergy,1536,k[IU]/L,kIU/L,,Dactylis glomerata Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6081-4,Coconut IgE Ab [Units/volume] in Serum,Allergy,Allergy,1916,k[IU]/L,kIU/L,,Cocos nucifera Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6082-2,Codfish IgE Ab [Units/volume] in Serum,Allergy,Allergy,992,k[IU]/L,kIU/L,,Gadus morhua Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6085-5,Common Ragweed IgE Ab [Units/volume] in Serum,Allergy,Allergy,757,k[IU]/L,kIU/L,,Ambrosia elatior Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6087-1,Corn IgE Ab [Units/volume] in Serum,Allergy,Allergy,738,k[IU]/L,kIU/L,,Zea mays Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6090-5,Cottonwood IgE Ab [Units/volume] in Serum,Allergy,Allergy,1943,k[IU]/L,kIU/L,,Populus deltoides Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7258-7,Cow milk IgE Ab [Units/volume] in Serum,Allergy,Allergy,662,k[IU]/L,kIU/L,,Cow milk Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,25383-1,Cow milk IgE Ab RAST class in Serum,Allergy,Allergy,1797,,,,Cow milk Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,7774-3,Cow whey IgE Ab [Units/volume] in Serum,Allergy,Allergy,1742,k[IU]/L,kIU/L,,Cow whey Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6092-1,Crab IgE Ab [Units/volume] in Serum,Allergy,Allergy,1274,k[IU]/L,kIU/L,,Cancer pagurus Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
