Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	-0.3053	13.4069	0.0956	10.104	10.811	11.254	11.498	11.888	12.16	12.578	13.407	14.309	14.826	15.19	15.751	16.13	16.879	18.272
1	-0.1867	13.3976	0.09597	10.038	10.765	11.218	11.467	11.864	12.14	12.563	13.398	14.299	14.813	15.173	15.726	16.098	16.829	18.177
2	-0.0681	13.3883	0.09634	9.971	10.718	11.182	11.436	11.839	12.12	12.548	13.388	14.289	14.799	15.156	15.701	16.066	16.781	18.086
3	0.0505	13.3791	0.09672	9.9	10.67	11.144	11.404	11.815	12.1	12.533	13.379	14.279	14.786	15.139	15.676	16.035	16.734	18
4	0.169	13.3698	0.09709	9.827	10.62	11.106	11.371	11.79	12.079	12.518	13.37	14.27	14.773	15.122	15.652	16.004	16.687	17.916
5	0.2876	13.3606	0.09746	9.75	10.568	11.067	11.338	11.765	12.059	12.503	13.361	14.26	14.759	15.105	15.627	15.974	16.642	17.835
6	0.4062	13.3513	0.09784	9.67	10.515	11.027	11.304	11.739	12.038	12.487	13.351	14.25	14.746	15.088	15.604	15.944	16.598	17.757
7	0.5247	13.3421	0.09821	9.586	10.46	10.986	11.27	11.713	12.017	12.472	13.342	14.24	14.733	15.071	15.58	15.914	16.555	17.682
8	0.5094	13.3843	0.09769	9.644	10.512	11.036	11.318	11.76	12.063	12.517	13.384	14.28	14.773	15.111	15.62	15.954	16.595	17.723
9	0.4941	13.4265	0.09716	9.701	10.565	11.086	11.367	11.807	12.109	12.561	13.427	14.321	14.813	15.151	15.659	15.994	16.635	17.764
10	0.4789	13.4687	0.09664	9.758	10.617	11.136	11.416	11.854	12.155	12.606	13.469	14.362	14.853	15.191	15.699	16.033	16.675	17.805
11	0.4636	13.511	0.09611	9.815	10.67	11.187	11.465	11.902	12.201	12.65	13.511	14.402	14.893	15.23	15.738	16.072	16.714	17.846
12	0.4483	13.5532	0.09559	9.872	10.723	11.237	11.514	11.949	12.247	12.695	13.553	14.443	14.933	15.27	15.777	16.111	16.753	17.886
13	0.433	13.5954	0.09507	9.929	10.775	11.287	11.563	11.996	12.293	12.739	13.595	14.483	14.973	15.309	15.816	16.151	16.793	17.927
14	0.4177	13.6377	0.09454	9.987	10.828	11.337	11.612	12.043	12.339	12.784	13.638	14.524	15.012	15.349	15.855	16.189	16.831	17.966
15	0.4059	13.7174	0.09416	10.065	10.905	11.414	11.69	12.121	12.417	12.863	13.717	14.605	15.095	15.432	15.941	16.276	16.92	18.06
16	0.3946	13.8006	0.0938	10.144	10.985	11.494	11.77	12.201	12.498	12.944	13.801	14.691	15.182	15.52	16.03	16.367	17.014	18.159
17	0.3839	13.8854	0.09347	10.223	11.065	11.575	11.85	12.283	12.58	13.027	13.885	14.778	15.271	15.611	16.123	16.46	17.11	18.261
18	0.3735	13.9707	0.09315	10.303	11.145	11.655	11.932	12.365	12.662	13.11	13.971	14.866	15.361	15.701	16.215	16.555	17.207	18.364
19	0.3636	14.0558	0.09285	10.381	11.224	11.735	12.012	12.446	12.744	13.193	14.056	14.954	15.45	15.792	16.308	16.649	17.305	18.467
20	0.3541	14.1404	0.09257	10.459	11.303	11.815	12.092	12.526	12.825	13.275	14.14	15.041	15.539	15.883	16.401	16.743	17.402	18.569
21	0.3449	14.2241	0.0923	10.535	11.38	11.893	12.17	12.606	12.906	13.357	14.224	15.128	15.628	15.973	16.493	16.836	17.498	18.671
22	0.336	14.3065	0.09204	10.61	11.456	11.97	12.248	12.684	12.985	13.437	14.307	15.213	15.715	16.061	16.583	16.928	17.593	18.772
