Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	-0.0631	13.3363	0.09272	10.039	10.764	11.213	11.458	11.847	12.118	12.529	13.336	14.199	14.686	15.026	15.545	15.892	16.571	17.808
1	0.0362	13.3185	0.0936	9.958	10.703	11.162	11.413	11.81	12.085	12.503	13.319	14.185	14.673	15.012	15.529	15.873	16.544	17.759
2	0.1355	13.3006	0.09448	9.874	10.641	11.111	11.367	11.772	12.052	12.476	13.301	14.172	14.659	14.998	15.512	15.854	16.517	17.71
3	0.2347	13.2828	0.09535	9.788	10.577	11.059	11.321	11.734	12.019	12.449	13.283	14.158	14.646	14.983	15.495	15.834	16.489	17.661
4	0.334	13.2649	0.09623	9.698	10.511	11.006	11.274	11.695	11.985	12.422	13.265	14.145	14.632	14.969	15.477	15.813	16.461	17.613
5	0.4333	13.247	0.09711	9.605	10.444	10.952	11.226	11.656	11.952	12.395	13.247	14.131	14.618	14.954	15.459	15.793	16.433	17.565
6	0.5326	13.2292	0.09799	9.509	10.375	10.897	11.178	11.617	11.918	12.368	13.229	14.117	14.605	14.939	15.442	15.772	16.405	17.517
7	0.6319	13.2113	0.09887	9.408	10.304	10.84	11.128	11.577	11.883	12.341	13.211	14.103	14.59	14.924	15.423	15.751	16.376	17.469
8	0.6142	13.2455	0.09866	9.451	10.342	10.877	11.164	11.612	11.918	12.375	13.246	14.138	14.626	14.961	15.461	15.79	16.418	17.516
9	0.5965	13.2796	0.09845	9.493	10.381	10.914	11.2	11.647	11.953	12.41	13.28	14.173	14.662	14.997	15.5	15.829	16.46	17.563
10	0.5789	13.3137	0.09824	9.535	10.419	10.95	11.236	11.682	11.987	12.444	13.314	14.208	14.698	15.034	15.538	15.868	16.501	17.61
11	0.5612	13.3478	0.09804	9.576	10.457	10.987	11.272	11.717	12.022	12.478	13.348	14.243	14.734	15.071	15.576	15.908	16.543	17.657
12	0.5435	13.3819	0.09783	9.618	10.496	11.024	11.308	11.752	12.057	12.512	13.382	14.278	14.77	15.107	15.614	15.947	16.585	17.704
13	0.5258	13.416	0.09762	9.66	10.534	11.06	11.344	11.787	12.091	12.546	13.416	14.313	14.806	15.144	15.652	15.986	16.626	17.751
14	0.5082	13.4501	0.09741	9.702	10.572	11.097	11.38	11.823	12.126	12.581	13.45	14.348	14.842	15.181	15.69	16.025	16.668	17.798
15	0.4947	13.5169	0.09726	9.762	10.633	11.159	11.442	11.885	12.189	12.645	13.517	14.418	14.914	15.255	15.767	16.104	16.75	17.888
16	0.482	13.5873	0.09711	9.826	10.697	11.223	11.507	11.951	12.255	12.712	13.587	14.492	14.991	15.333	15.848	16.187	16.837	17.983
17	0.4699	13.6595	0.09697	9.889	10.761	11.288	11.573	12.018	12.323	12.782	13.66	14.568	15.069	15.413	15.931	16.272	16.926	18.08
18	0.4583	13.7325	0.09684	9.953	10.826	11.354	11.639	12.085	12.392	12.851	13.733	14.645	15.148	15.494	16.015	16.358	17.016	18.178
19	0.4472	13.8056	0.09671	10.017	10.891	11.42	11.706	12.153	12.46	12.921	13.806	14.722	15.228	15.576	16.099	16.444	17.106	18.276
20	0.4365	13.8784	0.09659	10.08	10.955	11.485	11.771	12.22	12.528	12.991	13.878	14.799	15.307	15.657	16.183	16.53	17.196	18.374
21	0.4263	13.9505	0.09647	10.142	11.019	11.55	11.837	12.287	12.595	13.06	13.951	14.875	15.386	15.737	16.266	16.615	17.285	18.47
22	0.4164	14.0216	0.09636	10.203	11.081	11.613	11.901	12.352	12.662	13.128	14.022	14.95	15.463	15.816	16.348	16.699	17.373	18.566
23	0.4069	14.0916	0.09625	10.263	11.143	11.676	11.964	12.417	12.727	13.194	14.092	15.024	15.539	15.894	16.428	16.781	17.459	18.659
24	0.3977	14.1603	0.09615	10.322	11.203	11.737	12.026	12.48	12.791	13.26	14.16	15.097	15.614	15.97	16.508	16.862	17.544	18.752
25	0.3888	14.2276	0.09605	10.379	11.262	11.797	12.087	12.542	12.854	13.324	14.228	15.168	15.687	16.045	16.585	16.942	17.627	18.842
26	0.3802	14.2935	0.09595	10.435	11.32	11.856	12.147	12.602	12.916	13.387	14.294	15.237	15.759	16.119	16.661	17.019	17.709	18.93
27	0.3718	14.3579	0.09586	10.49	11.376	11.914	12.205	12.661	12.976	13.448	14.358	15.305	15.829	16.191	16.735	17.095	17.788	19.017
28	0.3637	14.4208	0.09577	10.544	11.431	11.97	12.261	12.719	13.034	13.508	14.421	15.372	15.898	16.261	16.808	17.17	17.866	19.101
29	0.3558	14.4824	0.09568	10.596	11.485	12.025	12.317	12.776	13.092	13.567	14.482	15.437	15.965	16.329	16.879	17.242	17.942	19.184
30	0.3481	14.5422	0.09559	10.648	11.537	12.078	12.371	12.831	13.148	13.624	14.542	15.5	16.03	16.396	16.948	17.313	18.016	19.264
31	0.3406	14.6003	0.09551	10.697	11.588	12.13	12.423	12.884	13.202	13.68	14.6	15.561	16.093	16.46	17.015	17.381	18.088	19.342
32	0.3333	14.6566	0.09543	10.745	11.638	12.18	12.474	12.936	13.254	13.733	14.657	15.62	16.155	16.523	17.08	17.448	18.157	19.418
