ACAM2000|vaccinia (smallpox)|75        |Acambis, Inc|ACA       |Inactive|Inactive|2010/05/28|
ACAM2000|vaccinia (smallpox)|75        |Sanofi Pasteur|PMC       |Active|Active|2010/05/28|
ACEL-IMUNE|DTaP|20        ||          |Inactive|Inactive|2010/09/01|
ACTHIB|Hib (PRP-T)|48        |Sanofi Pasteur|PMC       |Active|Active|2010/05/28|
ADACEL|Tdap|115       |Sanofi Pasteur|PMC       |Active|Active|2010/05/28|
Adenovirus types 4 and 7|Adenovirus types 4 and 7|143       |Barr Laboratories|BRR       |Inactive|Active|2012/08/07|
AFLURIA|Influenza, seasonal, injectable|141       |bioCSL|CSL       |Inactive|Inactive|2016/09/26|
Afluria|Influenza, seasonal, injectable|141       |Seqirus|SEQ       |Active|Active|2016/09/26|
Afluria quadrivalent preservative free|influenza, injectable, quadrivalent, preservative free|150       |Seqirus|SEQ       |Active|Active|2016/10/04|
Afluria, preservative free|Influenza, seasonal, injectable, preservative free|140       |bioCSL|CSL       |Inactive|Inactive|2016/09/26|
Afluria, preservative free|Influenza, seasonal, injectable, preservative free|140       |Seqirus|SEQ       |Active|Active|2016/09/26|
Afluria, quadrivalent|influenza, injectable, quadrivalent|158       |Seqirus|SEQ       |Active|Active|2016/10/04|
AGRIFLU|Influenza, seasonal, injectable, preservative free|140       |Novartis Pharmaceutical Corporation|NOV       |Inactive|Inactive|2017/11/15|
AS03 adjuvant|AS03 Adjuvant|801       |GlaxoSmithKline|SKB       |Active|Inactive|2015/09/11|
ATTENUVAX|measles|05        |Merck and Co., Inc.|MSD       |Active|Inactive|2015/04/28|
Bexsero|meningococcal B, OMV|163       |Novartis Pharmaceutical Corporation|NOV       |Inactive|Active|2015/02/02|
Bexsero|meningococcal B, OMV|163       |GlaxoSmithKline|SKB       |Active|Active|2016/03/22|
BIAVAX II|rubella/mumps|38        ||          |Inactive|Inactive|2010/09/01|
BIOTHRAX|anthrax|24        |Emergent BioSolutions|MIP       |Active|Active|2013/08/09|
BOOSTRIX|Tdap|115       |GlaxoSmithKline|SKB       |Active|Active|2010/05/28|
CERTIVA|DTaP|20        ||          |Inactive|Inactive|2010/09/01|
CERVARIX|HPV, bivalent|118       |GlaxoSmithKline|SKB       |Active|Inactive|2016/11/22|
COMVAX|Hib-Hep B|51        |Merck and Co., Inc.|MSD       |Active|Inactive|2016/03/11|
DAPTACEL|DTaP, 5 pertussis antigens|106       |Sanofi Pasteur|PMC       |Active|Active|2010/05/28|
