Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	1	34.4618	0.03686	30.536	31.507	32.073	32.372	32.834	33.145	33.605	34.462	35.319	35.778	36.09	36.551	36.851	37.417	38.387
1	1	34.562	0.03656	30.657	31.622	32.185	32.484	32.943	33.252	33.71	34.562	35.414	35.872	36.181	36.64	36.939	37.502	38.467
2	1	34.6622	0.03625	30.779	31.739	32.299	32.595	33.052	33.36	33.815	34.662	35.51	35.964	36.272	36.729	37.025	37.585	38.545
3	1	34.7625	0.03595	30.901	31.855	32.412	32.707	33.161	33.467	33.92	34.763	35.605	36.058	36.364	36.818	37.113	37.67	38.624
4	1	34.8627	0.03564	31.023	31.972	32.526	32.819	33.27	33.575	34.025	34.863	35.701	36.15	36.455	36.906	37.2	37.753	38.702
5	1	34.9629	0.03533	31.146	32.089	32.64	32.931	33.38	33.683	34.13	34.963	35.796	36.243	36.546	36.995	37.286	37.836	38.78
6	1	35.0631	0.03503	31.267	32.206	32.753	33.043	33.489	33.79	34.235	35.063	35.892	36.336	36.637	37.083	37.373	37.92	38.859
7	1	35.1634	0.03472	31.391	32.323	32.867	33.155	33.599	33.898	34.34	35.163	35.987	36.429	36.728	37.172	37.46	38.004	38.936
8	1	35.2636	0.03441	31.514	32.441	32.981	33.268	33.709	34.006	34.445	35.264	36.082	36.521	36.819	37.259	37.546	38.086	39.013
9	1	35.3638	0.03411	31.636	32.558	33.095	33.38	33.818	34.114	34.55	35.364	36.177	36.614	36.91	37.348	37.633	38.17	39.091
10	1	35.464	0.0338	31.76	32.675	33.21	33.492	33.928	34.222	34.656	35.464	36.272	36.706	37	37.436	37.718	38.253	39.168
11	1	35.5643	0.0335	31.883	32.793	33.324	33.605	34.037	34.329	34.761	35.564	36.368	36.799	37.091	37.524	37.805	38.336	39.246
12	1	35.6645	0.03319	32.007	32.911	33.438	33.717	34.148	34.438	34.866	35.665	36.463	36.891	37.181	37.612	37.891	38.418	39.322
13	1	35.7647	0.03288	32.131	33.029	33.553	33.83	34.258	34.546	34.972	35.765	36.558	36.983	37.272	37.699	37.976	38.5	39.399
14	1	35.8649	0.03258	32.254	33.147	33.667	33.943	34.367	34.654	35.077	35.865	36.653	37.076	37.362	37.787	38.063	38.583	39.476
15	1	35.9652	0.03248	32.355	33.248	33.768	34.044	34.468	34.754	35.177	35.965	36.753	37.176	37.462	37.887	38.162	38.683	39.575
16	1	36.0632	0.03239	32.454	33.346	33.866	34.142	34.566	34.853	35.275	36.063	36.851	37.274	37.56	37.985	38.26	38.781	39.673
17	1	36.159	0.0323	32.55	33.442	33.962	34.238	34.662	34.949	35.371	36.159	36.947	37.369	37.656	38.08	38.356	38.876	39.768
18	1	36.2526	0.03221	32.644	33.536	34.056	34.332	34.756	35.042	35.465	36.253	37.04	37.463	37.749	38.173	38.449	38.969	39.861
19	1	36.3441	0.03213	32.736	33.628	34.148	34.423	34.848	35.134	35.556	36.344	37.132	37.554	37.841	38.265	38.54	39.061	39.953
20	1	36.4338	0.03205	32.825	33.717	34.238	34.513	34.937	35.224	35.646	36.434	37.221	37.644	37.93	38.355	38.63	39.15	40.042
21	1	36.5216	0.03197	32.913	33.805	34.326	34.601	35.025	35.311	35.734	36.522	37.309	37.732	38.018	38.442	38.718	39.238	40.13
22	1	36.6078	0.03189	33	33.892	34.412	34.688	35.112	35.398	35.82	36.608	37.395	37.818	38.104	38.528	38.803	39.324	40.215
23	1	36.6922	0.03182	33.084	33.976	34.496	34.772	35.196	35.482	35.905	36.692	37.48	37.902	38.188	38.613	38.888	39.408	40.3
24	1	36.7751	0.03175	33.167	34.059	34.579	34.855	35.279	35.565	35.988	36.775	37.563	37.985	38.271	38.696	38.971	39.491	40.383
25	1	36.8566	0.03168	33.248	34.14	34.661	34.936	35.36	35.646	36.069	36.857	37.644	38.067	38.353	38.777	39.053	39.573	40.465
26	1	36.9366	0.03161	33.329	34.22	34.741	35.016	35.44	35.726	36.149	36.937	37.724	38.147	38.433	38.857	39.133	39.653	40.545
27	1	37.0152	0.03154	33.407	34.299	34.819	35.095	35.519	35.805	36.228	37.015	37.803	38.225	38.511	38.935	39.211	39.731	40.623
28	1	37.0926	0.03148	33.484	34.376	34.896	35.172	35.596	35.882	36.305	37.093	37.88	38.303	38.589	39.013	39.289	39.809	40.701
29	1	37.1687	0.03141	33.561	34.453	34.973	35.248	35.673	35.959	36.381	37.169	37.956	38.379	38.665	39.089	39.364	39.885	40.776
30	1	37.2435	0.03135	33.635	34.527	35.048	35.323	35.747	36.033	36.456	37.244	38.031	38.454	38.74	39.164	39.439	39.96	40.852
31	1	37.3172	0.03129	33.709	34.601	35.121	35.397	35.821	36.107	36.53	37.317	38.105	38.527	38.814	39.238	39.513	40.034	40.926
32	1	37.3898	0.03123	33.781	34.673	35.194	35.469	35.893	36.18	36.602	37.39	38.177	38.6	38.886	39.31	39.586	40.106	40.998
33	1	37.4612	0.03118	33.852	34.744	35.264	35.54	35.964	36.251	36.673	37.461	38.249	38.672	38.958	39.382	39.658	40.178	41.071
34	1	37.5316	0.03112	33.922	34.814	35.335	35.61	36.035	36.321	36.744	37.532	38.319	38.742	39.028	39.453	39.728	40.249	41.141
35	1	37.601	0.03107	33.991	34.883	35.404	35.679	36.104	36.39	36.813	37.601	38.389	38.812	39.098	39.523	39.798	40.319	41.211
36	1	37.6694	0.03101	34.06	34.952	35.472	35.748	36.172	36.459	36.882	37.669	38.457	38.88	39.166	39.591	39.866	40.387	41.279
37	1	37.7368	0.03096	34.126	35.019	35.539	35.815	36.24	36.526	36.949	37.737	38.525	38.948	39.234	39.659	39.934	40.455	41.347
