Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	1	33.8787	0.03496	30.219	31.123	31.651	31.931	32.361	32.651	33.08	33.879	34.678	35.106	35.397	35.827	36.106	36.634	37.539
1	1	33.975	0.03479	30.322	31.225	31.752	32.031	32.46	32.75	33.178	33.975	34.772	35.2	35.49	35.919	36.198	36.725	37.628
2	1	34.0714	0.03461	30.427	31.328	31.854	32.132	32.56	32.849	33.276	34.071	34.867	35.294	35.583	36.011	36.289	36.815	37.715
3	1	34.1677	0.03444	30.531	31.43	31.955	32.232	32.66	32.948	33.374	34.168	34.961	35.387	35.676	36.103	36.381	36.905	37.804
4	1	34.264	0.03426	30.636	31.533	32.056	32.333	32.76	33.047	33.472	34.264	35.056	35.481	35.768	36.195	36.472	36.995	37.892
5	1	34.3603	0.03409	30.741	31.635	32.157	32.434	32.859	33.146	33.57	34.36	35.15	35.574	35.861	36.287	36.563	37.085	37.98
6	1	34.4566	0.03391	30.846	31.738	32.259	32.535	32.959	33.246	33.669	34.457	35.245	35.668	35.954	36.378	36.654	37.175	38.067
7	1	34.5529	0.03374	30.95	31.841	32.36	32.635	33.059	33.345	33.767	34.553	35.339	35.761	36.047	36.47	36.746	37.265	38.156
8	1	34.6493	0.03356	31.056	31.944	32.462	32.737	33.159	33.444	33.865	34.649	35.434	35.854	36.14	36.562	36.836	37.354	38.243
9	1	34.7456	0.03339	31.16	32.047	32.564	32.837	33.259	33.543	33.963	34.746	35.528	35.948	36.232	36.654	36.928	37.445	38.331
10	1	34.8419	0.03321	31.266	32.15	32.666	32.939	33.359	33.643	34.061	34.842	35.622	36.041	36.325	36.745	37.018	37.534	38.418
11	1	34.9382	0.03304	31.371	32.253	32.767	33.039	33.459	33.742	34.16	34.938	35.717	36.135	36.418	36.837	37.109	37.624	38.505
12	1	35.0345	0.03286	31.477	32.356	32.869	33.141	33.559	33.841	34.258	35.035	35.811	36.228	36.51	36.928	37.2	37.713	38.592
13	1	35.1309	0.03269	31.582	32.459	32.971	33.242	33.659	33.941	34.356	35.131	35.906	36.321	36.603	37.02	37.291	37.803	38.68
14	1	35.2272	0.03251	31.688	32.563	33.073	33.343	33.76	34.04	34.455	35.227	36	36.414	36.695	37.111	37.381	37.891	38.766
15	1	35.3211	0.03248	31.776	32.652	33.163	33.434	33.851	34.132	34.547	35.321	36.095	36.51	36.791	37.208	37.479	37.99	38.866
16	1	35.413	0.03245	31.862	32.74	33.252	33.523	33.94	34.222	34.638	35.413	36.188	36.604	36.886	37.303	37.574	38.086	38.964
17	1	35.5028	0.03242	31.946	32.825	33.338	33.61	34.028	34.31	34.726	35.503	36.279	36.696	36.978	37.396	37.668	38.18	39.06
18	1	35.5906	0.03239	32.028	32.909	33.422	33.694	34.113	34.396	34.813	35.591	36.368	36.785	37.068	37.487	37.759	38.272	39.153
19	1	35.6766	0.03236	32.109	32.991	33.505	33.778	34.197	34.48	34.898	35.677	36.455	36.873	37.156	37.576	37.848	38.362	39.244
20	1	35.7607	0.03233	32.188	33.071	33.586	33.859	34.279	34.562	34.981	35.761	36.541	36.959	37.242	37.662	37.935	38.45	39.333
21	1	35.843	0.03231	32.264	33.149	33.665	33.938	34.359	34.643	35.062	35.843	36.624	37.043	37.327	37.748	38.021	38.537	39.422
22	1	35.9237	0.03228	32.34	33.226	33.743	34.016	34.438	34.722	35.142	35.924	36.706	37.126	37.41	37.831	38.105	38.621	39.507
23	1	36.0028	0.03226	32.414	33.301	33.818	34.092	34.514	34.799	35.219	36.003	36.786	37.207	37.491	37.913	38.187	38.705	39.592
24	1	36.0803	0.03223	32.487	33.375	33.893	34.168	34.59	34.875	35.296	36.08	36.865	37.286	37.571	37.993	38.267	38.786	39.674
25	1	36.1563	0.03221	32.557	33.447	33.966	34.241	34.664	34.949	35.371	36.156	36.942	37.363	37.649	38.072	38.347	38.866	39.755
26	1	36.2309	0.03219	32.627	33.518	34.037	34.313	34.736	35.022	35.444	36.231	37.018	37.44	37.726	38.149	38.424	38.944	39.835
27	1	36.3042	0.03217	32.695	33.587	34.108	34.383	34.807	35.094	35.516	36.304	37.092	37.515	37.801	38.225	38.501	39.021	39.913
28	1	36.3761	0.03215	32.762	33.655	34.177	34.452	34.877	35.164	35.587	36.376	37.165	37.588	37.875	38.3	38.576	39.097	39.99
29	1	36.4468	0.03213	32.828	33.723	34.244	34.521	34.946	35.233	35.657	36.447	37.237	37.661	37.948	38.373	38.649	39.171	40.066
30	1	36.5163	0.03211	32.893	33.789	34.311	34.588	35.014	35.301	35.725	36.516	37.307	37.732	38.019	38.445	38.722	39.244	40.14
31	1	36.5846	0.03209	32.957	33.853	34.377	34.654	35.08	35.368	35.793	36.585	37.376	37.801	38.089	38.516	38.793	39.316	40.213
32	1	36.6519	0.03207	33.02	33.917	34.441	34.718	35.146	35.434	35.859	36.652	37.445	37.87	38.158	38.585	38.863	39.386	40.284
33	1	36.718	0.03206	33.08	33.979	34.504	34.782	35.209	35.498	35.924	36.718	37.512	37.938	38.227	38.654	38.932	39.457	40.356
34	1	36.7831	0.03204	33.141	34.041	34.567	34.845	35.273	35.562	35.988	36.783	37.578	38.005	38.293	38.722	39	39.525	40.425
35	1	36.8472	0.03202	33.201	34.102	34.628	34.907	35.335	35.624	36.051	36.847	37.643	38.07	38.359	38.788	39.066	39.592	40.493
36	1	36.9104	0.032	33.26	34.163	34.689	34.968	35.397	35.686	36.114	36.91	37.707	38.135	38.424	38.853	39.132	39.658	40.56
37	1	36.9726	0.03199	33.318	34.221	34.748	35.027	35.457	35.747	36.175	36.973	37.77	38.198	38.488	38.918	39.197	39.724	40.628
38	1	37.034	0.03197	33.375	34.28	34.807	35.087	35.517	35.807	36.235	37.034	37.833	38.261	38.551	38.981	39.261	39.788	40.693
39	1	37.0945	0.03196	33.431	34.337	34.865	35.144	35.575	35.866	36.295	37.095	37.894	38.323	38.614	39.045	39.324	39.852	40.758
40	1	37.1541	0.03194	33.487	34.393	34.922	35.202	35.633	35.924	36.354	37.154	37.955	38.384	38.675	39.106	39.386	39.915	40.821
41	1	37.213	0.03193	33.541	34.449	34.978	35.259	35.69	35.981	36.412	37.213	38.014	38.445	38.736	39.167	39.448	39.977	40.885
42	1	37.2711	0.03191	33.596	34.504	35.034	35.315	35.747	36.038	36.469	37.271	38.073	38.504	38.795	39.227	39.508	40.038	40.946
43	1	37.3284	0.0319	33.649	34.558	35.089	35.37	35.802	36.094	36.525	37.328	38.132	38.563	38.854	39.287	39.568	40.099	41.008
44	1	37.3851	0.03188	33.702	34.612	35.144	35.425	35.858	36.15	36.581	37.385	38.189	38.62	38.913	39.345	39.627	40.158	41.068
45	1	37.4411	0.03187	33.754	34.665	35.197	35.478	35.912	36.204	36.636	37.441	38.246	38.678	38.97	39.404	39.685	40.217	41.129
46	1	37.4964	0.03186	33.805	34.717	35.25	35.531	35.965	36.258	36.691	37.496	38.302	38.735	39.027	39.461	39.743	40.276	41.188
47	1	37.551	0.03184	33.856	34.77	35.302	35.584	36.019	36.312	36.745	37.551	38.357	38.79	39.083	39.518	39.8	40.332	41.246
48	1	37.605	0.03183	33.906	34.82	35.354	35.636	36.071	36.364	36.798	37.605	38.412	38.846	39.139	39.574	39.856	40.39	41.304
49	1	37.6584	0.03182	33.955	34.871	35.405	35.687	36.123	36.416	36.85	37.658	38.467	38.9	39.194	39.629	39.912	40.446	41.361
50	1	37.7112	0.0318	34.005	34.921	35.456	35.739	36.174	36.468	36.902	37.711	38.52	38.954	39.248	39.684	39.967	40.501	41.417
51	1	37.7635	0.03179	34.054	34.971	35.506	35.789	36.225	36.519	36.954	37.764	38.573	39.008	39.302	39.738	40.021	40.556	41.473
52	1	37.8152	0.03178	34.101	35.019	35.555	35.838	36.275	36.57	37.005	37.815	38.626	39.061	39.355	39.792	40.075	40.611	41.529
53	1	37.8663	0.03177	34.149	35.068	35.604	35.888	36.325	36.619	37.055	37.866	38.678	39.113	39.408	39.845	40.129	40.665	41.584
54	1	37.9169	0.03176	34.196	35.115	35.652	35.936	36.374	36.669	37.105	37.917	38.729	39.165	39.46	39.898	40.182	40.718	41.638
55	1	37.9671	0.03174	34.243	35.164	35.701	35.985	36.423	36.718	37.154	37.967	38.78	39.216	39.511	39.949	40.234	40.771	41.691
56	1	38.0167	0.03173	34.289	35.21	35.748	36.033	36.471	36.766	37.203	38.017	38.83	39.267	39.563	40.001	40.285	40.823	41.744
57	1	38.0658	0.03172	34.335	35.257	35.795	36.08	36.518	36.814	37.251	38.066	38.88	39.317	39.613	40.052	40.337	40.875	41.797
58	1	38.1145	0.03171	34.38	35.303	35.841	36.127	36.566	36.862	37.299	38.115	38.93	39.367	39.663	40.102	40.388	40.926	41.849
59	1	38.1628	0.0317	34.424	35.348	35.887	36.173	36.612	36.909	37.347	38.163	38.979	39.417	39.713	40.153	40.438	40.977	41.901
60	1	38.2106	0.03169	34.469	35.394	35.933	36.219	36.659	36.956	37.394	38.211	39.027	39.466	39.762	40.202	40.488	41.028	41.953
61	1	38.258	0.03168	34.513	35.438	35.978	36.264	36.705	37.002	37.441	38.258	39.075	39.514	39.811	40.252	40.538	41.078	42.003
