Height	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
65	-0.3521	7.4327	0.08217	5.828	6.177	6.394	6.513	6.703	6.834	7.036	7.433	7.861	8.104	8.275	8.537	8.713	9.059	9.698
65.1	-0.3521	7.4563	0.08216	5.847	6.197	6.415	6.534	6.724	6.856	7.058	7.456	7.885	8.13	8.301	8.564	8.74	9.088	9.728
65.2	-0.3521	7.4799	0.08216	5.865	6.217	6.435	6.555	6.745	6.878	7.08	7.48	7.91	8.155	8.327	8.591	8.768	9.117	9.759
65.3	-0.3521	7.5034	0.08215	5.884	6.236	6.455	6.575	6.766	6.9	7.103	7.503	7.935	8.181	8.353	8.618	8.795	9.145	9.789
65.4	-0.3521	7.5269	0.08214	5.902	6.256	6.476	6.596	6.788	6.921	7.125	7.527	7.96	8.206	8.379	8.644	8.823	9.173	9.82
65.5	-0.3521	7.5504	0.08214	5.921	6.276	6.496	6.617	6.809	6.943	7.147	7.55	7.985	8.232	8.405	8.671	8.85	9.202	9.85
65.6	-0.3521	7.5738	0.08214	5.939	6.295	6.516	6.637	6.83	6.964	7.169	7.574	8.01	8.258	8.431	8.698	8.878	9.23	9.881
65.7	-0.3521	7.5973	0.08213	5.958	6.315	6.536	6.658	6.851	6.986	7.192	7.597	8.034	8.283	8.457	8.725	8.905	9.259	9.911
65.8	-0.3521	7.6206	0.08213	5.976	6.334	6.556	6.678	6.872	7.008	7.214	7.621	8.059	8.308	8.483	8.752	8.932	9.287	9.942
65.9	-0.3521	7.644	0.08213	5.994	6.354	6.577	6.699	6.893	7.029	7.236	7.644	8.084	8.334	8.509	8.779	8.96	9.316	9.972
66	-0.3521	7.6673	0.08212	6.013	6.373	6.597	6.719	6.915	7.051	7.258	7.667	8.108	8.359	8.535	8.805	8.987	9.344	10.002
66.1	-0.3521	7.6906	0.08212	6.031	6.392	6.617	6.74	6.936	7.072	7.28	7.691	8.133	8.385	8.561	8.832	9.014	9.372	10.033
66.2	-0.3521	7.7138	0.08212	6.049	6.412	6.637	6.76	6.956	7.093	7.302	7.714	8.158	8.41	8.587	8.859	9.041	9.401	10.063
66.3	-0.3521	7.737	0.08212	6.068	6.431	6.657	6.781	6.977	7.115	7.324	7.737	8.182	8.435	8.613	8.885	9.069	9.429	10.093
66.4	-0.3521	7.7602	0.08212	6.086	6.45	6.677	6.801	6.998	7.136	7.346	7.76	8.207	8.461	8.639	8.912	9.096	9.457	10.123
66.5	-0.3521	7.7834	0.08212	6.104	6.47	6.697	6.821	7.019	7.157	7.368	7.783	8.231	8.486	8.664	8.939	9.123	9.485	10.154
66.6	-0.3521	7.8065	0.08212	6.122	6.489	6.716	6.841	7.04	7.179	7.39	7.807	8.256	8.511	8.69	8.965	9.15	9.514	10.184
66.7	-0.3521	7.8296	0.08212	6.14	6.508	6.736	6.862	7.061	7.2	7.412	7.83	8.28	8.536	8.716	8.992	9.177	9.542	10.214
66.8	-0.3521	7.8526	0.08212	6.158	6.527	6.756	6.882	7.082	7.221	7.433	7.853	8.304	8.561	8.742	9.018	9.204	9.57	10.244
66.9	-0.3521	7.8757	0.08212	6.176	6.546	6.776	6.902	7.102	7.242	7.455	7.876	8.329	8.587	8.767	9.045	9.231	9.598	10.274
67	-0.3521	7.8986	0.08213	6.194	6.565	6.796	6.922	7.123	7.263	7.477	7.899	8.353	8.612	8.793	9.071	9.258	9.626	10.304
67.1	-0.3521	7.9216	0.08213	6.212	6.584	6.815	6.942	7.144	7.284	7.499	7.922	8.377	8.637	8.818	9.098	9.285	9.654	10.334
67.2	-0.3521	7.9445	0.08213	6.23	6.603	6.835	6.962	7.164	7.305	7.52	7.945	8.402	8.662	8.844	9.124	9.312	9.682	10.364
67.3	-0.3521	7.9674	0.08214	6.248	6.622	6.855	6.982	7.185	7.326	7.542	7.967	8.426	8.687	8.87	9.15	9.339	9.71	10.394
67.4	-0.3521	7.9903	0.08214	6.266	6.641	6.874	7.002	7.206	7.347	7.564	7.99	8.45	8.712	8.895	9.177	9.366	9.738	10.424
67.5	-0.3521	8.0132	0.08214	6.284	6.66	6.894	7.022	7.226	7.368	7.585	8.013	8.474	8.737	8.921	9.203	9.393	9.766	10.454
