Height	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
65	-0.3833	7.2402	0.09113	5.541	5.905	6.133	6.258	6.459	6.599	6.813	7.24	7.705	7.971	8.159	8.449	8.645	9.032	9.754
65.1	-0.3833	7.2627	0.09112	5.559	5.924	6.152	6.278	6.479	6.619	6.835	7.263	7.729	7.996	8.184	8.475	8.671	9.06	9.784
65.2	-0.3833	7.2852	0.09111	5.576	5.942	6.171	6.297	6.499	6.64	6.856	7.285	7.753	8.021	8.21	8.501	8.698	9.088	9.814
65.3	-0.3833	7.3076	0.0911	5.593	5.96	6.19	6.317	6.519	6.66	6.877	7.308	7.776	8.045	8.235	8.527	8.725	9.115	9.844
65.4	-0.3833	7.33	0.09109	5.611	5.979	6.209	6.336	6.539	6.681	6.898	7.33	7.8	8.07	8.26	8.553	8.751	9.143	9.873
65.5	-0.3833	7.3523	0.09109	5.628	5.997	6.228	6.356	6.559	6.701	6.919	7.352	7.824	8.094	8.285	8.579	8.778	9.171	9.903
65.6	-0.3833	7.3745	0.09108	5.645	6.015	6.247	6.375	6.579	6.721	6.94	7.375	7.848	8.119	8.31	8.605	8.804	9.198	9.933
65.7	-0.3833	7.3967	0.09107	5.662	6.034	6.266	6.394	6.599	6.742	6.961	7.397	7.871	8.143	8.335	8.631	8.83	9.226	9.963
65.8	-0.3833	7.4189	0.09106	5.679	6.052	6.285	6.413	6.618	6.762	6.982	7.419	7.895	8.167	8.36	8.656	8.857	9.253	9.992
65.9	-0.3833	7.441	0.09105	5.696	6.07	6.304	6.433	6.638	6.782	7.003	7.441	7.918	8.192	8.384	8.682	8.883	9.28	10.021
66	-0.3833	7.463	0.09104	5.713	6.088	6.322	6.452	6.658	6.802	7.024	7.463	7.941	8.216	8.409	8.707	8.909	9.308	10.051
66.1	-0.3833	7.485	0.09103	5.73	6.106	6.341	6.471	6.678	6.822	7.044	7.485	7.965	8.24	8.434	8.733	8.935	9.335	10.08
66.2	-0.3833	7.5069	0.09102	5.747	6.124	6.36	6.49	6.697	6.842	7.065	7.507	7.988	8.264	8.458	8.758	8.961	9.362	10.109
66.3	-0.3833	7.5288	0.09101	5.764	6.142	6.379	6.509	6.717	6.863	7.086	7.529	8.011	8.288	8.483	8.784	8.987	9.389	10.138
66.4	-0.3833	7.5507	0.091	5.781	6.16	6.397	6.528	6.737	6.883	7.106	7.551	8.035	8.312	8.508	8.809	9.013	9.416	10.167
66.5	-0.3833	7.5724	0.09099	5.798	6.178	6.416	6.547	6.756	6.902	7.127	7.572	8.058	8.336	8.532	8.834	9.039	9.443	10.196
66.6	-0.3833	7.5942	0.09098	5.815	6.196	6.434	6.566	6.776	6.922	7.147	7.594	8.081	8.36	8.556	8.86	9.065	9.47	10.225
66.7	-0.3833	7.6158	0.09097	5.831	6.214	6.453	6.585	6.795	6.942	7.168	7.616	8.104	8.383	8.581	8.885	9.09	9.497	10.254
66.8	-0.3833	7.6375	0.09096	5.848	6.231	6.471	6.603	6.814	6.962	7.188	7.638	8.127	8.407	8.605	8.91	9.116	9.523	10.283
66.9	-0.3833	7.659	0.09095	5.865	6.249	6.49	6.622	6.834	6.982	7.208	7.659	8.15	8.431	8.629	8.935	9.141	9.55	10.312
