Length	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
45	-0.3521	2.441	0.09182	1.863	1.987	2.064	2.107	2.175	2.223	2.296	2.441	2.599	2.689	2.753	2.851	2.917	3.048	3.292
45.1	-0.3521	2.4577	0.09176	1.876	2.001	2.079	2.122	2.19	2.238	2.312	2.458	2.616	2.707	2.771	2.87	2.937	3.068	3.313
45.2	-0.3521	2.4744	0.0917	1.889	2.014	2.093	2.136	2.205	2.254	2.328	2.474	2.634	2.726	2.79	2.889	2.956	3.089	3.335
45.3	-0.3521	2.4911	0.09164	1.902	2.028	2.107	2.151	2.22	2.269	2.343	2.491	2.652	2.744	2.809	2.908	2.976	3.109	3.357
45.4	-0.3521	2.5078	0.09159	1.915	2.042	2.122	2.165	2.235	2.284	2.359	2.508	2.669	2.762	2.827	2.928	2.996	3.13	3.379
45.5	-0.3521	2.5244	0.09153	1.928	2.056	2.136	2.18	2.25	2.299	2.375	2.524	2.687	2.78	2.846	2.947	3.015	3.15	3.401
45.6	-0.3521	2.5411	0.09147	1.941	2.07	2.15	2.195	2.265	2.315	2.391	2.541	2.705	2.798	2.864	2.966	3.035	3.17	3.422
45.7	-0.3521	2.5578	0.09141	1.954	2.084	2.165	2.209	2.28	2.33	2.406	2.558	2.722	2.817	2.883	2.985	3.054	3.191	3.444
45.8	-0.3521	2.5744	0.09135	1.967	2.097	2.179	2.224	2.295	2.345	2.422	2.574	2.74	2.835	2.901	3.004	3.074	3.211	3.466
45.9	-0.3521	2.5911	0.09129	1.98	2.111	2.193	2.238	2.31	2.361	2.438	2.591	2.758	2.853	2.92	3.023	3.093	3.231	3.488
46	-0.3521	2.6077	0.09124	1.993	2.125	2.207	2.253	2.325	2.376	2.454	2.608	2.775	2.871	2.938	3.042	3.113	3.251	3.509
46.1	-0.3521	2.6244	0.09118	2.006	2.139	2.222	2.268	2.34	2.391	2.469	2.624	2.793	2.889	2.957	3.062	3.132	3.272	3.531
46.2	-0.3521	2.6411	0.09112	2.019	2.153	2.236	2.282	2.356	2.407	2.485	2.641	2.81	2.907	2.976	3.081	3.152	3.292	3.553
46.3	-0.3521	2.6578	0.09106	2.032	2.167	2.251	2.297	2.371	2.422	2.501	2.658	2.828	2.926	2.994	3.1	3.171	3.312	3.575
46.4	-0.3521	2.6745	0.091	2.045	2.181	2.265	2.311	2.386	2.438	2.517	2.675	2.846	2.944	3.013	3.119	3.191	3.333	3.596
46.5	-0.3521	2.6913	0.09094	2.059	2.195	2.279	2.326	2.401	2.453	2.533	2.691	2.863	2.962	3.031	3.138	3.211	3.353	3.618
46.6	-0.3521	2.7081	0.09088	2.072	2.209	2.294	2.341	2.416	2.468	2.549	2.708	2.881	2.98	3.05	3.158	3.23	3.373	3.64
46.7	-0.3521	2.7249	0.09083	2.085	2.222	2.308	2.356	2.431	2.484	2.565	2.725	2.899	2.999	3.069	3.177	3.25	3.394	3.662
46.8	-0.3521	2.7417	0.09077	2.098	2.236	2.323	2.37	2.446	2.499	2.581	2.742	2.917	3.017	3.087	3.196	3.27	3.414	3.684
46.9	-0.3521	2.7586	0.09071	2.111	2.251	2.337	2.385	2.462	2.515	2.597	2.759	2.935	3.035	3.106	3.216	3.289	3.435	3.706
47	-0.3521	2.7755	0.09065	2.125	2.265	2.352	2.4	2.477	2.53	2.613	2.776	2.952	3.054	3.125	3.235	3.309	3.455	3.728
47.1	-0.3521	2.7925	0.09059	2.138	2.279	2.367	2.415	2.492	2.546	2.629	2.793	2.97	3.072	3.144	3.254	3.329	3.476	3.75
47.2	-0.3521	2.8095	0.09053	2.152	2.293	2.381	2.43	2.508	2.562	2.645	2.81	2.988	3.091	3.163	3.274	3.349	3.497	3.772
47.3	-0.3521	2.8266	0.09047	2.165	2.307	2.396	2.445	2.523	2.578	2.661	2.827	3.006	3.109	3.182	3.293	3.369	3.517	3.794
47.4	-0.3521	2.8437	0.09042	2.178	2.321	2.411	2.46	2.538	2.593	2.677	2.844	3.025	3.128	3.201	3.313	3.389	3.538	3.816
47.5	-0.3521	2.8609	0.09036	2.192	2.336	2.426	2.475	2.554	2.609	2.693	2.861	3.043	3.147	3.22	3.333	3.409	3.559	3.838
47.6	-0.3521	2.8782	0.0903	2.206	2.35	2.441	2.49	2.57	2.625	2.71	2.878	3.061	3.166	3.239	3.353	3.429	3.58	3.861
47.7	-0.3521	2.8955	0.09024	2.219	2.365	2.455	2.505	2.585	2.641	2.726	2.896	3.079	3.184	3.258	3.372	3.449	3.601	3.883
47.8	-0.3521	2.9129	0.09018	2.233	2.379	2.47	2.521	2.601	2.657	2.743	2.913	3.098	3.203	3.278	3.392	3.47	3.622	3.906
47.9	-0.3521	2.9304	0.09012	2.247	2.394	2.486	2.536	2.617	2.673	2.759	2.93	3.116	3.222	3.297	3.412	3.49	3.643	3.928
48	-0.3521	2.948	0.09007	2.261	2.408	2.501	2.552	2.633	2.689	2.776	2.948	3.135	3.242	3.317	3.432	3.511	3.665	3.951
48.1	-0.3521	2.9657	0.09001	2.274	2.423	2.516	2.567	2.649	2.706	2.793	2.966	3.153	3.261	3.336	3.453	3.531	3.686	3.974
48.2	-0.3521	2.9835	0.08995	2.289	2.438	2.531	2.583	2.665	2.722	2.81	2.984	3.172	3.28	3.356	3.473	3.552	3.708	3.997
48.3	-0.3521	3.0014	0.08989	2.303	2.453	2.547	2.599	2.681	2.738	2.827	3.001	3.191	3.3	3.376	3.494	3.573	3.73	4.02
48.4	-0.3521	3.0195	0.08983	2.317	2.468	2.562	2.614	2.697	2.755	2.844	3.02	3.21	3.319	3.396	3.514	3.594	3.751	4.044
48.5	-0.3521	3.0377	0.08977	2.331	2.483	2.578	2.63	2.714	2.772	2.861	3.038	3.229	3.339	3.416	3.535	3.615	3.774	4.067
48.6	-0.3521	3.056	0.08972	2.346	2.499	2.594	2.646	2.73	2.789	2.878	3.056	3.249	3.359	3.437	3.556	3.637	3.796	4.091
48.7	-0.3521	3.0745	0.08966	2.36	2.514	2.61	2.663	2.747	2.806	2.896	3.075	3.268	3.379	3.457	3.577	3.658	3.818	4.115
48.8	-0.3521	3.0931	0.0896	2.375	2.53	2.626	2.679	2.764	2.823	2.914	3.093	3.288	3.399	3.478	3.598	3.68	3.841	4.139
48.9	-0.3521	3.1119	0.08954	2.39	2.545	2.642	2.696	2.781	2.84	2.931	3.112	3.308	3.42	3.499	3.62	3.702	3.863	4.164
49	-0.3521	3.1308	0.08948	2.405	2.561	2.659	2.712	2.798	2.858	2.949	3.131	3.328	3.44	3.52	3.642	3.724	3.886	4.188
49.1	-0.3521	3.1499	0.08943	2.42	2.577	2.675	2.729	2.815	2.875	2.967	3.15	3.348	3.461	3.541	3.663	3.746	3.91	4.213
49.2	-0.3521	3.1691	0.08937	2.435	2.593	2.692	2.746	2.833	2.893	2.986	3.169	3.368	3.482	3.562	3.685	3.769	3.933	4.238
49.3	-0.3521	3.1884	0.08931	2.45	2.609	2.708	2.763	2.85	2.911	3.004	3.188	3.389	3.503	3.584	3.707	3.791	3.956	4.262
49.4	-0.3521	3.2079	0.08925	2.466	2.625	2.725	2.78	2.868	2.929	3.022	3.208	3.409	3.524	3.605	3.73	3.814	3.98	4.288
49.5	-0.3521	3.2276	0.08919	2.481	2.642	2.742	2.797	2.885	2.947	3.041	3.228	3.43	3.546	3.627	3.752	3.837	4.004	4.313
49.6	-0.3521	3.2473	0.08913	2.497	2.658	2.759	2.815	2.903	2.965	3.06	3.247	3.451	3.567	3.649	3.775	3.86	4.027	4.339
49.7	-0.3521	3.2672	0.08908	2.512	2.675	2.776	2.832	2.921	2.983	3.079	3.267	3.472	3.589	3.671	3.798	3.883	4.052	4.364
49.8	-0.3521	3.2873	0.08902	2.528	2.692	2.794	2.85	2.939	3.002	3.098	3.287	3.493	3.611	3.693	3.821	3.906	4.076	4.39
49.9	-0.3521	3.3075	0.08896	2.544	2.709	2.811	2.868	2.958	3.021	3.117	3.308	3.514	3.633	3.716	3.844	3.93	4.1	4.416
50	-0.3521	3.3278	0.0889	2.56	2.726	2.829	2.886	2.976	3.039	3.136	3.328	3.536	3.655	3.738	3.867	3.954	4.125	4.443
50.1	-0.3521	3.3482	0.08884	2.576	2.743	2.846	2.904	2.995	3.058	3.155	3.348	3.557	3.677	3.761	3.89	3.977	4.15	4.469
50.2	-0.3521	3.3688	0.08878	2.593	2.76	2.864	2.922	3.013	3.077	3.175	3.369	3.579	3.699	3.784	3.914	4.001	4.174	4.496
50.3	-0.3521	3.3894	0.08872	2.609	2.777	2.882	2.94	3.032	3.096	3.195	3.389	3.601	3.721	3.806	3.937	4.025	4.199	4.522
50.4	-0.3521	3.4102	0.08867	2.625	2.794	2.9	2.958	3.051	3.115	3.214	3.41	3.623	3.744	3.83	3.961	4.05	4.225	4.549
50.5	-0.3521	3.4311	0.08861	2.642	2.812	2.918	2.976	3.07	3.135	3.234	3.431	3.645	3.767	3.853	3.985	4.074	4.25	4.576
50.6	-0.3521	3.4522	0.08855	2.659	2.83	2.936	2.995	3.089	3.154	3.254	3.452	3.667	3.79	3.876	4.009	4.099	4.275	4.603
50.7	-0.3521	3.4733	0.08849	2.675	2.847	2.955	3.014	3.108	3.174	3.274	3.473	3.689	3.813	3.899	4.033	4.123	4.301	4.63
50.8	-0.3521	3.4946	0.08843	2.692	2.865	2.973	3.032	3.127	3.193	3.294	3.495	3.712	3.836	3.923	4.057	4.148	4.327	4.658
