Length	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
45	-0.3833	2.4607	0.09029	1.888	2.011	2.087	2.13	2.197	2.245	2.317	2.461	2.617	2.707	2.77	2.867	2.933	3.063	3.305
45.1	-0.3833	2.4777	0.0903	1.901	2.024	2.102	2.144	2.212	2.26	2.333	2.478	2.635	2.725	2.789	2.887	2.953	3.084	3.328
45.2	-0.3833	2.4947	0.0903	1.914	2.038	2.116	2.159	2.228	2.276	2.349	2.495	2.653	2.744	2.808	2.907	2.974	3.106	3.351
45.3	-0.3833	2.5117	0.09031	1.927	2.052	2.131	2.174	2.243	2.291	2.365	2.512	2.671	2.763	2.827	2.927	2.994	3.127	3.374
45.4	-0.3833	2.5287	0.09032	1.94	2.066	2.145	2.189	2.258	2.307	2.381	2.529	2.689	2.782	2.847	2.947	3.014	3.148	3.397
45.5	-0.3833	2.5457	0.09033	1.953	2.08	2.159	2.203	2.273	2.322	2.397	2.546	2.708	2.8	2.866	2.967	3.035	3.169	3.42
45.6	-0.3833	2.5627	0.09033	1.966	2.094	2.174	2.218	2.288	2.337	2.413	2.563	2.726	2.819	2.885	2.986	3.055	3.19	3.443
45.7	-0.3833	2.5797	0.09034	1.979	2.108	2.188	2.233	2.303	2.353	2.429	2.58	2.744	2.838	2.904	3.006	3.075	3.212	3.466
45.8	-0.3833	2.5967	0.09035	1.992	2.121	2.203	2.247	2.319	2.368	2.445	2.597	2.762	2.857	2.923	3.026	3.096	3.233	3.489
45.9	-0.3833	2.6137	0.09036	2.005	2.135	2.217	2.262	2.334	2.384	2.461	2.614	2.78	2.875	2.942	3.046	3.116	3.254	3.512
46	-0.3833	2.6306	0.09037	2.018	2.149	2.231	2.277	2.349	2.399	2.477	2.631	2.798	2.894	2.961	3.066	3.136	3.275	3.535
46.1	-0.3833	2.6476	0.09037	2.031	2.163	2.246	2.291	2.364	2.415	2.493	2.648	2.816	2.913	2.981	3.085	3.156	3.296	3.557
46.2	-0.3833	2.6646	0.09038	2.044	2.177	2.26	2.306	2.379	2.43	2.509	2.665	2.834	2.931	3	3.105	3.177	3.318	3.58
